Key,File,Type,UsedInMainMenu,NoTranslate,english
buffRelicMechaJoltpackDesc,buffs,Buff,,,You are Shocked. Taking damage over time but Slow effects from Shock are inverted.
buffRelicMechaJoltpackTooltip,buffs,Buff,,,You are Shocked. Taking damage over time but Slow effects from Shock are inverted.

modRelicAudiocator,item_modifiers,Mod,,,"Relic: Audiocator"
relicAudiocatorBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+500% Noise Multiplier."

modRelicTrauma,item_modifiers,Mod,,,"Relic: Trauma"
relicTraumaBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nHitting an enemy applies Trauma.\nTrauma:\nTake 25% More Damage.\n-35% Move and Attack Speed."
buffRelicTraumaEffectName,buffs,Buff,,,Relic: Trauma
buffRelicTraumaEffectDesc,buffs,Buff,,,Take 25% More Damage.\n-35% Move and Attack Speed.

modRelicHeavyWeight,item_modifiers,Mod,,,"Relic: Heavy Weight"
relicHeavyWeightBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\nWhile wielding a Two-handed melee weapon\n(Sledgehammer, Axe, Spears)\n+100% Entity Damage\n+50% Block Damage\n-35% Attack Speed"

modRelicFeatherFate,item_modifiers,Mod,,,"Relic: Feather Fate"
relicFeatherFateBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n+15% Movement Speed\n+3% Movement Speed per Cardio perk point.\n+2% Movement Speed per Daring Adventurer perk point."


modRelicTest,item_modifiers,Mod,,,"Relic: Test"
relicTestBasicDesc,item_modifiers,Mod,,,"Sockets into Chest Armor items.\n XXX"
buffRelicEquippedTestName,buffs,Buff,,,Relic: Test
buffRelicEquippedTestDesc,buffs,Buff,,,Testing something plz hold

armorRelicTabulaRasa,items,Clothes,,,Tabula Rasa
uniqueTabulaRasaDesc,items,Clothes,,,Modifier Slots: 6
statTabulaRasa,ui_display,Item stat,,,Modifier Slots:
