Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
SleepS2Tooltip,buffs,Buff,,,You drift off...,,Du schläfst ein...,Te quedas dormido...,Tu t'endors...,Ti addormenti...,あなたは眠りに落ちます...,잠들었습니다...,Zasypiasz...  ,Você adormece...,Ты засыпаешь...  ,Uykuda kalıyorsun...  ,你已经睡着了...,你已經入睡了...
YourIgnorance,buffs,Buff,,,your ignorance of basic sleep hygiene,,deine Unkenntnis der grundlegenden Schlafhygiene,tu ignorancia de la higiene del sueño básica,ton ignorance des règles de base de l'hygiène du sommeil,la tua ignoranza dell'igiene del sonno di base,睡眠の基本的な衛生管理の無知,기본적인 수면 위생에 대한 무지,twoja ignorancja w zakresie podstawowej higieny snu  ,sua ignorância da higiene do sono básica,твое незнание о базовой гигиене сна  ,uyku hijyenine dair cehaletin  ,你对基本睡眠卫生的无知,你對基本睡眠衛生的無知
SleepDeprivationSymptoms,buffs,Buff,,,Sleep Deprivation Symptoms,,Symptome des Schlafentzugs,Síntomas de Privación del Sueño,Symptômes de Privation de Sommeil,Sintomi di Privazione del Sonno,睡眠不足の症状,수면 박탈 증상,Objawy deprywacji snu  ,Sintomas de Privação do Sono,Симптомы Привлечения Сна  ,Uyku Giderimi Belirtileri  ,睡眠剥夺的症状,失眠症狀
SevereSleepDeprivationSymptoms,buffs,Buff,,,Severe Sleep Deprivation Symptoms,,Symptome des Schweren Schlafentzugs,Síntomas de Privación Grave del Sueño,Symptômes de Privation Grave de Sommeil,Sintomi di Grave Privazione del Sonno,深刻な睡眠不足の症状,심각한 수면 박탈 증상,Objawy ciężkiej deprywacji snu  ,Sintomas de Privação Grave do Sono,Симптомы Тяжелой Привлечения Сна  ,Ciddi Uyku Giderimi Belirtileri  ,严重睡眠剥夺的症状,嚴重失眠症狀
7DayLongDeprivation,buffs,Buff,,,7-Day Long Deprivation,,7-Tage-Schlafentzug,Privación de 7 Días,Privation de 7 Jours,Privazione di 7 Giorni,7日間の睡眠不足,7일간의 박탈,Deprywacja przez 7 dni  ,Privação de 7 Dias,Привлечение 7 Дней  ,7 Gün Giderimi  ,7天的剥夺睡眠,7天失眠
SleepS0Insomnia,buffs,Buff,,,No way you can sleep right now. Find sedatives or try again later.,,Du kannst jetzt nicht schlafen. Finde Sedativa oder versuche es später erneut.,No puedes dormir ahora mismo. Encuentra sedantes o inténtalo de nuevo más tarde.,Tu ne peux pas dormir maintenant. Trouve des sédatifs ou essaie à nouveau plus tard.,Non puoi dormire in questo momento. Trova dei sedativi o riprova più tardi.,今は寝ることができません。鎮静剤を見つけるか、後でもう一度試してください。,지금은 잘 수 없습니다. 진정제를 찾거나 나중에 다시 시도하세요.,Nie możesz teraz spać. Znajdź środki uspokajające lub spróbuj ponownie później.  ,Você não consegue dormir agora. Encontre sedativos ou tente novamente mais tarde.,Ты не можешь спать прямо сейчас. Найди седативные средства или попробуй снова позже.  ,Şu anda uyuyamazsın. Sakinleştirici bul ya da daha sonra tekrar dene.  ,你现在无法入睡。找一些镇静剂或稍后再试。,你現在無法入睡。找些鎮靜劑或稍後再試。
SleepS0Stimulants,buffs,Buff,,,The stimulants haven’t worn off yet. Sedatives might still work though…,,Die Stimulanzien haben noch nicht nachgelassen. Sedativa könnten jedoch wirken...,"Los estimulantes aún no se han desvanecido. Sin embargo, los sedantes podrían funcionar…","Les stimulants ne se sont pas encore dissipés. Cependant, les sédatifs pourraient fonctionner…","Gli stimolanti non si sono ancora dissipati. Tuttavia, i sedativi potrebbero funzionare…",刺激物がまだ消えていません。ただし、鎮静剤は効果があるかもしれません…,자극제의 효과가 아직 사라지지 않았습니다. 그러나 진정제는 효과가 있을 수 있습니다…,Stymulanty jeszcze się nie rozmyły. Jednak środki uspokajające mogą zadziałać…  ,"Os estimulantes ainda não desapareceram. No entanto, os sedativos podem funcionar…","Стимуляторы еще не исчезли. Тем не менее, седативные средства могут сработать...  ","Uyarıcılar henüz geçmedi. Ancak, sakinleştiriciler işe yarayabilir…  ",刺激物的效果还没有消失。然而，镇静剂可能会有效…,刺激劑仍未消退。然而，鎮靜劑可能會有效…
SleepS2Hungry,buffs,Buff,,,You are too hungry to sleep!,,"Du bist zu hungrig, um zu schlafen!",¡Tienes demasiada hambre para dormir!,Tu as trop faim pour dormir!,Hai troppa fame per dormire!,空腹すぎて寝られません！,너무 배가 고파서 잠을 잘 수 없습니다!,"Masz za dużo głodu, aby spać!  ",Você está com fome demais para dormir!,"Ты слишком голоден, чтобы спать!  ",Uyumak için çok açsın!  ,你太饿了，不能入睡！,你餓得無法入睡！
SleepS2Thirsty,buffs,Buff,,,You are too thirsty to sleep!,,"Du bist zu durstig, um zu schlafen!",¡Tienes demasiada sed para dormir!,Tu as trop soif pour dormir!,Hai troppa sete per dormire!,喉が渇きすぎて寝られません！,너무 목이 말라서 잠을 잘 수 없습니다!,"Masz za dużo pragnienia, aby spać!  ",Você está com sede demais para dormir!,"Ты слишком пьян, чтобы спать!  ",Uyumak için çok susuzsun!  ,你太渴了，不能入睡！,你渴得無法入睡！
bb7doi_drugSedatives,items,Medical,,,Sedatives,,Sedativa,Sedantes,Sédatifs,Sedativi,鎮静剤,진정제,Środki uspokajające  ,Sedativos,Седативные средства  ,Sakinleştiriciler  ,镇静剂,鎮靜劑
bb7doi_drugStimulants,items,Medical,,,Stimulants,,Stimulanzien,Estimulantes,Stimulants,Stimolanti,刺激物,자극제,Stymulanty  ,Estimulantes,Стимуляторы  ,Uyarıcılar  ,刺激物,刺激劑
bb7doiChallengeGroup,Challenges,Challenge Group,,,7 Days of Insomnia,,7 Tage Insomnie,7 Días de Insomnio,7 Jours d'Insomnie,7 Giorni di Insonnia,7日間の不眠症,7일간의 불면증,7 dni bezsenności  ,7 Dias de Insônia,7 Дней Бессонницы  ,7 Gün Uykusuzluk  ,7天失眠,7天失眠
bb7doiChallengeRewardBonus,Challenges,Challenge Group Reward,,,Insomniac Rewards,,Belohnungen für Insomnie,Recompensas de Insomnio,Récompenses d'Insomnie,Ricompense per l'Insonnia,不眠症の報酬,불면증 보상,Nagrody za bezsenność  ,Recompensas de Insônia,Награды за Бессонницу  ,Uykusuzluk Ödülleri  ,失眠奖励,失眠獎勳
bb7doiChallengeGTSonCoffee,Challenges,Challenge,,,Sleep Lesson #1: Coffee,,Schlaflektion #1: Kaffee,Lección de Sueño #1: Café,Leçon de Sommeil #1: Café,Lezione di Sonno #1: Caffè,睡眠のレッスン #1: カフェイン,수면 교훈 #1: 커피,Lekcja snu #1: Kawa  ,Lição de Sono #1: Café,Урок сна #1: Кофе  ,Uyku Dersi #1: Kahve  ,睡眠课程#1：咖啡,睡眠課程 #1：咖啡
bb7doiChallengeGTSonCoffeeDesc,Challenges,Challenge,,,"You’ve never needed to sleep so far, but that will soon change. It’s time you learn this secret technique, and how… [FF5555]NOT[-] to do it. It might just save your life, or at least your sanity.\n\nStand still on a [DECEA3]bed[-] or [DECEA3]bedroll[-], drink [DECEA3]coffee[-] and then crouch to begin trying to sleep.\n\n[DECEA3]Coffee[-] [FF5555]makes it harder to fall asleep and can trigger insomnia.[-]",,"Bisher musstest du nicht schlafen, aber das wird sich bald ändern. Es ist Zeit, dass du diese geheime Technik lernst und wie… [FF5555]NICHT[-] anzuwenden. Es könnte dein Leben oder zumindest deinen Verstand retten.\n\nBleib still in einem [DECEA3]Bett[-] oder [DECEA3]Schlafsack[-], trinke [DECEA3]Kaffee[-] und dann ducke dich, um zu beginnen, zu versuchen, zu schlafen.\n\n[DECEA3]Kaffee[-] [FF5555]erschwert das Einschlafen und kann Insomnie verursachen.[-]","Hasta ahora, no has necesitado dormir, pero eso pronto cambiará. Es hora de que aprendas esta técnica secreta, y cómo… [FF5555]NO[-] hacerlo. Podría salvar tu vida, o al menos tu cordura.\n\nQuédate quieto en una [DECEA3]cama[-] o [DECEA3]saco de dormir[-], bebe [DECEA3]café[-] y luego agáchate para comenzar a intentar dormir.\n\n[DECEA3]El café[-] [FF5555]dificulta quedarse dormido y puede provocar insomnio.[-]","Jusqu'à présent, tu n'as pas eu besoin de dormir, mais cela va bientôt changer. Il est temps d'apprendre cette technique secrète, et comment… [FF5555]NE PAS[-] le faire. Cela pourrait te sauver la vie, ou au moins ta santé mentale.\n\nReste immobile dans un [DECEA3]lit[-] ou [DECEA3]sac de couchage[-], bois du [DECEA3]café[-] puis accroupis-toi pour commencer à essayer de dormir.\n\n[DECEA3]Le café[-] [FF5555]rend le sommeil difficile et peut provoquer de l'insomnie.[-]","Fino ad ora, non hai avuto bisogno di dormire, ma questo cambierà presto. È ora che impari questa tecnica segreta, e come… [FF5555]NON[-] farlo. Potrebbe salvarti la vita, o almeno la tua sanità mentale.\n\nRimani fermo su un [DECEA3]letto[-] o [DECEA3]sacco a pelo[-], bevi [DECEA3]caffè[-] e poi accovacciati per iniziare a provare a dormire.\n\n[DECEA3]Il caffè[-] [FF5555]rende difficile addormentarsi e può causare insonnia.[-]",これまでのところ、眠る必要はなかったかもしれませんが、それはすぐに変わります。この秘密のテクニックを学び、そして… [FF5555]やってはいけないこと[-]を覚えてください。それはあなたの命、少なくとも正気を救うかもしれません。\n\n[DECEA3]ベッド[-]または[DECEA3]寝袋[-]に静かに座り、[DECEA3]カフェイン[-]を飲んでからしゃがんで眠ろうとします。\n\n[DECEA3]カフェイン[-]は[FF5555]寝つきを悪くし、不眠症を引き起こす可能性があります。[-],"지금까지는 잠이 필요 없었지만, 곧 바뀔 것입니다. 이제 이 비밀 기술과… [FF5555]하지 말아야 할[-] 방법을 배울 때입니다. 이것은 당신의 생명, 아니면 적어도 정신을 구할 수 있습니다.\n\n[DECEA3]침대[-]나 [DECEA3]침낭[-]에 가만히 앉아 [DECEA3]커피[-]를 마시고 앉아서 잠들기를 시도하세요.\n\n[DECEA3]커피[-]는 [FF5555]잠드는 것을 어렵게 하고 불면증을 유발할 수 있습니다.[-]","Jak na razie nie musiałeś spać, ale to wkrótce się zmieni. Czas, abyś nauczył się tej tajnej techniki i jak… [FF5555]NIE[-] robić tego. Może uratować ci życie, lub przynajmniej twoją zdrowie psychiczne.\n\nPozostań w bezruchu na [DECEA3]łóżku[-] lub [DECEA3]śpiworze[-], wypij [DECEA3]kawę[-] i pochyl się, aby zacząć próbować zasnąć.\n\n[DECEA3]Kawa[-] [FF5555]utrudnia zasypianie i może powodować bezsenność.[-]  ","Até agora, você não precisou dormir, mas isso vai mudar em breve. É hora de aprender essa técnica secreta e como… [FF5555]NÃO[-] fazê-lo. Isso pode salvar sua vida, ou pelo menos sua sanidade.\n\nFique deitado em uma [DECEA3]cama[-] ou [DECEA3]saco de dormir[-], beba [DECEA3]café[-] e então se abaixe para começar a tentar dormir.\n\n[DECEA3]O café[-] [FF5555]dificulta adormecer e pode causar insônia.[-]","Пока что тебе не нужно было спать, но это скоро изменится. Пора научиться этой секретной технике и как… [FF5555]НЕ[-] делать это. Это может спасти твою жизнь или, по крайней мере, твой рассудок.\n\nСиди неподвижно на [DECEA3]кровати[-] или [DECEA3]спальном мешке[-], пей [DECEA3]кофе[-] и затем наклонись, чтобы начать пытаться заснуть.\n\n[DECEA3]Кофе[-] [FF5555]затрудняет засыпание и может вызывать бессонницу.[-]  ","Şu ana kadar uyumaya ihtiyacın olmadı, ama bu yakında değişecek. Bu gizli tekniği öğrenmenin zamanı geldi ve nasıl… [FF5555]YAPMAMAN GEREKEN[-] şeyleri öğrenmelisin. Bu hayatını kurtarabilir ya da en azından akıl sağlığını.\n\nBir [DECEA3]yatakta[-] veya [DECEA3]uyku tulumunda[-] hareketsiz kal, [DECEA3]kahve[-] iç ve sonra uykuya dalmayı denemek için eğil.\n\n[DECEA3]Kahve[-] [FF5555]uykuya dalmayı zorlaştırır ve uykusuzluğa neden olabilir.[-]  ",到目前为止，你还没有需要睡觉，但这种情况很快就会改变。现在是时候学习这个秘密技巧，以及如何……[FF5555]不要[-]这样做了。它可能会救你的命，或者至少保住你的理智。\n\n躺在[DECEA3]床[-]或[DECEA3]睡袋[-]上，喝[DECEA3]咖啡[-]，然后趴下开始尝试入睡。\n\n[DECEA3]咖啡[-] [FF5555]会使入睡变得困难，可能导致失眠。[-],到目前為止，你還不需要睡覺，但這很快會改變。是時候學習這個秘密技巧了，還有如何… [FF5555]不[-]去做。這可能會拯救你的生命，或者至少是你的理智。\n\n躺在 [DECEA3]床[-] 或 [DECEA3]睡袋[-] 上，喝 [DECEA3]咖啡[-]，然後彎下腰開始嘗試入睡。\n\n[DECEA3]咖啡[-] [FF5555]使入睡變得困難，可能會引起失眠。[-]
bb7doiChallengeGTSonCoffeeShort,Challenges,Challenge,,,"Stand still on a bed or bedroll, drink coffee, and try to sleep.",,"Bleib still in einem Bett oder Schlafsack, trinke Kaffee und versuche zu schlafen.","Quédate quieto en una cama o saco de dormir, bebe café e intenta dormir.","Reste immobile dans un lit ou un sac de couchage, bois du café et essaie de dormir.","Rimani fermo su un letto o sacco a pelo, bevi caffè e prova a dormire.",ベッドまたは寝袋に静かに座り、カフェインを飲んで眠ろうとします。,침대나 침낭에 가만히 앉아 커피를 마시고 잠들기를 시도하세요.,"Pozostań w bezruchu na łóżku lub w śpiwórze, wypij kawę i spróbuj zasnąć.  ","Fique deitado em uma cama ou saco de dormir, beba café e tente dormir.","Сиди неподвижно на кровати или спальном мешке, пей кофе и пытайся уснуть.  ","Bir yatakta veya uyku tulumunda hareketsiz kal, kahve iç ve uyumayı dene.  ",躺在床上或睡袋里，喝咖啡并尝试入睡。,躺在床或睡袋上，喝咖啡並嘗試入睡。
bb7doiChallengeGTSonAlcohol,Challenges,Challenge,,,Sleep Lesson #2: Alcohol,,Schlaflektion #2: Alkohol,Lección de Sueño #2: Alcohol,Leçon de Sommeil #2: Alcool,Lezione di Sonno #2: Alcool,睡眠のレッスン #2: アルコール,수면 교훈 #2: 알코올,Lekcja snu #2: Alkohol  ,Lição de Sono #2: Álcool,Урок сна #2: Алкоголь  ,Uyku Dersi #2: Alkol  ,睡眠课程#2：酒精,睡眠課程 #2：酒精
bb7doiChallengeGTSonAlcoholDesc,Challenges,Challenge,,,"Proper sleep hygiene can take several years to master, and some aspects can be unintuitive to the uninitiated, but we are initiated, aren’t we, Bruce?\n\nStand still on a [DECEA3]bed[-] or [DECEA3]bedroll[-], consume an  [DECEA3]alcoholic drink[-] and then crouch to begin trying to sleep.\n\n[DECEA3]Alcohol[-] [99DDFF]makes it easier to fall asleep[-] but it [FF5555]can trigger insomnia.[-] Is it worth it? That’s for you to decide...\n\n(It’s not)",,"Richtige Schlafhygiene kann Jahre dauern, um sie zu meistern, und einige Aspekte können für Ungeübte kontraintuitiv sein, aber wir sind eingeweiht, oder Bruce?\n\nBleib still in einem [DECEA3]Bett[-] oder [DECEA3]Schlafsack[-], konsumiere ein [DECEA3]alkoholisches Getränk[-] und dann ducke dich, um zu beginnen, zu versuchen, zu schlafen.\n\n[DECEA3]Alkohol[-] [99DDFF]erleichtert das Einschlafen[-], aber [FF5555]kann Insomnie verursachen.[-] Ist es das wert? Das entscheidest du...\n\n(Es ist es nicht wert)","La higiene del sueño adecuada puede llevar varios años dominarla, y algunos aspectos pueden ser contraintuitivos para los no iniciados, pero nosotros estamos iniciados, ¿verdad, Bruce?\n\nQuédate quieto en una [DECEA3]cama[-] o [DECEA3]saco de dormir[-], consume una [DECEA3]bebida alcohólica[-] y luego agáchate para comenzar a intentar dormir.\n\n[DECEA3]El alcohol[-] [99DDFF]facilita quedarse dormido[-] pero [FF5555]puede provocar insomnio.[-] ¿Vale la pena? Eso lo decides tú...\n\n(No lo vale)","L'hygiène du sommeil appropriée peut prendre des années à maîtriser, et certains aspects peuvent sembler contre-intuitifs pour les non-initiés, mais nous sommes initiés, n'est-ce pas, Bruce?\n\nReste immobile dans un [DECEA3]lit[-] ou [DECEA3]sac de couchage[-], consomme une [DECEA3]boisson alcoolisée[-] puis accroupis-toi pour commencer à essayer de dormir.\n\n[DECEA3]L'alcool[-] [99DDFF]facilite l'endormissement[-] mais [FF5555]peut provoquer de l'insomnie.[-] Cela vaut-il la peine? C'est à toi de décider...\n\n(Ce n'est pas le cas)","Una corretta igiene del sonno può richiedere anni per essere padroneggiata, e alcuni aspetti possono sembrare controintuitivi per i non iniziati, ma noi siamo iniziati, giusto, Bruce?\n\nRimani fermo su un [DECEA3]letto[-] o [DECEA3]sacco a pelo[-], consuma una [DECEA3]bevanda alcolica[-] e poi accovacciati per iniziare a provare a dormire.\n\n[DECEA3]L'alcool[-] [99DDFF]facilita l'addormentamento[-] ma [FF5555]può causare insonnia.[-] Ne vale la pena? Questo lo decidi tu...\n\n(Non ne vale la pena)",適切な睡眠衛生を習得するには数年かかることがあります。初心者には直感的でないかもしれませんが、我々は初心者ではありませんよね、ブルース？\n\n[DECEA3]ベッド[-]または[DECEA3]寝袋[-]に静かに座り、[DECEA3]アルコール飲料[-]を摂取してからしゃがんで眠ろうとします。\n\n[DECEA3]アルコール[-]は[99DDFF]寝つきを良くします[-]が、[FF5555]不眠症を引き起こす可能性があります。[-] 価値があるかどうかはあなた次第です…\n\n（価値はありません）,"적절한 수면 위생을 마스터하는 데는 여러 해가 걸릴 수 있으며, 몇 가지 측면은 초심자에게는 직관적이지 않을 수 있습니다. 하지만 우리는 초심자가 아니죠, 브루스?\n\n[DECEA3]침대[-]나 [DECEA3]침낭[-]에 가만히 앉아 [DECEA3]알코올 음료[-]를 섭취한 후 앉아서 잠들기를 시도하세요.\n\n[DECEA3]알코올[-]은 [99DDFF]잠드는 것을 쉽게[-] 하지만 [FF5555]불면증을 유발할 수 있습니다.[-] 그만한 가치가 있을까요? 그것은 당신이 결정할 일입니다...\n\n(그럴 가치가 없습니다)","Odpowiednia higiena snu może zająć kilka lat do opanowania, a niektóre aspekty mogą być intuicyjnie sprzeczne dla niedoświadczonych, ale my jesteśmy w tym doświadczeni, prawda, Bruce?\n\nPozostań w bezruchu na [DECEA3]łóżku[-] lub [DECEA3]śpiworze[-], wypij [DECEA3]alkohol[-] i pochyl się, aby zacząć próbować zasnąć.\n\n[DECEA3]Alkohol[-] [99DDFF]ułatwia zasypianie[-], ale [FF5555]może powodować bezsenność.[-] Warto? To już decydujesz ty…\n\n(Nie warto)  ","A higiene do sono adequada pode levar vários anos para dominar, e alguns aspectos podem ser contraintuitivos para os não iniciados, mas nós somos iniciados, certo, Bruce?\n\nFique deitado em uma [DECEA3]cama[-] ou [DECEA3]saco de dormir[-], beba uma [DECEA3]bebida alcoólica[-] e então se abaixe para começar a tentar dormir.\n\n[DECEA3]O álcool[-] [99DDFF]facilita adormecer[-] mas [FF5555]pode causar insônia.[-] Vale a pena? Isso é com você...\n\n(Não vale a pena)","Правильная гигиена сна может занять несколько лет, чтобы овладеть ею, и некоторые аспекты могут быть контринтуитивными для непосвященных, но мы в теме, верно, Брюс?\n\nСиди неподвижно на [DECEA3]кровати[-] или [DECEA3]спальном мешке[-], выпей [DECEA3]алкогольный напиток[-] и затем наклонись, чтобы начать пытаться уснуть.\n\n[DECEA3]Алкоголь[-] [99DDFF]облегчает засыпание[-], но [FF5555]может вызывать бессонницу.[-] Это стоит того? Решай сам...\n\n(Не стоит)  ","Doğru uyku hijyenini öğrenmek birkaç yıl alabilir ve bazı yönleri acemi için sezgisel olmayabilir, ama biz acemi değiliz, değil mi Bruce?\n\nBir [DECEA3]yatakta[-] veya [DECEA3]uyku tulumunda[-] hareketsiz kal, bir [DECEA3]alkollü içecek[-] tüket ve sonra uykuya dalmayı denemek için eğil.\n\n[DECEA3]Alkol[-] [99DDFF]uykuya dalmayı kolaylaştırır[-] ama [FF5555]uykusuzluğa neden olabilir.[-] Değmeye değer mi? Bu sana kalmış...\n\n(Değmez)  ",掌握良好的睡眠卫生可能需要几年时间，某些方面对外行人可能是反直觉的，但我们已经入门了，对吧，布鲁斯？\n\n躺在[DECEA3]床[-]或[DECEA3]睡袋[-]上，喝一杯[DECEA3]酒[-]，然后趴下开始尝试入睡。\n\n[DECEA3]酒精[-] [99DDFF]有助于入睡[-]，但[FF5555]可能会导致失眠。[-] 值得吗？由你决定…\n\n（不值得）,適當的睡眠衛生可能需要幾年才能掌握，有些方面對於新手來說可能會違反直覺，但我們已經是內行了，對吧，布魯斯？\n\n躺在 [DECEA3]床[-] 或 [DECEA3]睡袋[-] 上，喝一 [DECEA3]杯酒[-]，然後彎下腰開始嘗試入睡。\n\n[DECEA3]酒精[-] [99DDFF]促進入睡[-]，但 [FF5555]可能會引起失眠。[-] 值得嗎？這由你來決定...\n\n（不值得）
bb7doiChallengeGTSonAlcoholShort,Challenges,Challenge,,,"Stand still on a bed or bedroll, drink alcohol, and try to sleep.",,"Bleib still in einem Bett oder Schlafsack, trinke Alkohol und versuche zu schlafen.","Quédate quieto en una cama o saco de dormir, bebe alcohol e intenta dormir.","Reste immobile dans un lit ou un sac de couchage, bois de l'alcool et essaie de dormir.","Rimani fermo su un letto o sacco a pelo, bevi alcool e prova a dormire.",ベッドまたは寝袋に静かに座り、アルコールを摂取して眠ろうとします。,침대나 침낭에 가만히 앉아 알코올을 마시고 잠들기를 시도하세요.,"Pozostań w bezruchu na łóżku lub w śpiworze, wypij alkohol i spróbuj zasnąć.  ","Fique deitado em uma cama ou saco de dormir, beba álcool e tente dormir.","Сиди неподвижно на кровати или спальном мешке, пей алкоголь и пытайся уснуть.  ","Bir yatakta veya uyku tulumunda hareketsiz kal, alkol iç ve uyumayı dene.  ",躺在床上或睡袋里，喝酒并尝试入睡。,躺在床或睡袋上，喝酒並嘗試入睡。
bb7doiChallengeGTSonPainkillers,Challenges,Challenge,,,Sleep Lesson #3: Painkillers,,Schlaflektion #3: Schmerzmittel,Lección de Sueño #3: Analgésicos,Leçon de Sommeil #3: Analgésiques,Lezione di Sonno #3: Analgesici,睡眠のレッスン #3: 鎮痛剤,수면 교훈 #3: 진통제,Lekcja snu #3: Środki przeciwbólowe  ,Lição de Sono #3: Analgésicos,Урок сна #3: Обезболивающие  ,Uyku Dersi #3: Ağrı Kesiciler  ,睡眠课程#3：止痛药,睡眠課程 #3：止痛藥
bb7doiChallengeGTSonPainkillersDesc,Challenges,Challenge,,,"Much to learn, you still have.\n\nStand still on a [DECEA3]bed[-] or [DECEA3]bedroll[-], take [DECEA3]Painkillers[-] or [DECEA3]Fort Bites[-] and then crouch to begin trying to sleep.\n\n[99DDFF]Analgesics make it easier to fall asleep.[-]\n\nFine print: they also have nasty side effects, but that’s for another day.",,"Viel zu lernen, du hast noch.\n\nBleib still in einem [DECEA3]Bett[-] oder [DECEA3]Schlafsack[-], nimm [DECEA3]Schmerzmittel[-] oder [DECEA3]Fort Bites[-] und dann ducke dich, um zu beginnen, zu versuchen, zu schlafen.\n\n[99DDFF]Schmerzmittel erleichtern das Einschlafen.[-]\n\nKleingedrucktes: Sie haben auch unangenehme Nebenwirkungen, aber das ist für einen anderen Tag.","Mucho que aprender, todavía tienes.\n\nQuédate quieto en una [DECEA3]cama[-] o [DECEA3]saco de dormir[-], toma [DECEA3]analgésicos[-] o [DECEA3]Fort Bites[-] y luego agáchate para comenzar a intentar dormir.\n\n[99DDFF]Los analgésicos facilitan quedarse dormido.[-]\n\nLetra pequeña: también tienen efectos secundarios desagradables, pero eso es para otro día.","Tu as encore beaucoup à apprendre.\n\nReste immobile dans un [DECEA3]lit[-] ou [DECEA3]sac de couchage[-], prends des [DECEA3]analgésiques[-] ou des [DECEA3]Fort Bites[-] puis accroupis-toi pour commencer à essayer de dormir.\n\n[99DDFF]Les analgésiques facilitent l'endormissement.[-]\n\nEn petits caractères : ils ont également des effets secondaires désagréables, mais c'est pour un autre jour.","Hai ancora molto da imparare.\n\nRimani fermo su un [DECEA3]letto[-] o [DECEA3]sacco a pelo[-], prendi [DECEA3]analgesici[-] o [DECEA3]Fort Bites[-] e poi accovacciati per iniziare a provare a dormire.\n\n[99DDFF]Gli analgesici facilitano l'addormentamento.[-]\n\nNota: hanno anche effetti collaterali spiacevoli, ma questo è per un altro giorno.",学ぶことはまだまだあります。\n\n[DECEA3]ベッド[-]または[DECEA3]寝袋[-]に静かに座り、[DECEA3]鎮痛剤[-]または[DECEA3]Fort Bites[-]を摂取してからしゃがんで眠ろうとします。\n\n[99DDFF]鎮痛剤は寝つきを良くします。[-]\n\n細字: 副作用もありますが、それはまた別の日に。,"배울 것이 많습니다, 아직도.\n\n[DECEA3]침대[-]나 [DECEA3]침낭[-]에 가만히 앉아 [DECEA3]진통제[-]나 [DECEA3]포트바이트[-]를 섭취한 후 앉아서 잠들기를 시도하세요.\n\n[99DDFF]진통제는 잠드는 것을 쉽게 합니다.[-]\n\n작은 글씨: 또한 불쾌한 부작용이 있지만, 그것은 다른 날 이야기입니다.","Dużo jeszcze do nauki masz.\n\nPozostań w bezruchu na [DECEA3]łóżku[-] lub [DECEA3]śpiworze[-], weź [DECEA3]środki przeciwbólowe[-] lub [DECEA3]Fort Bites[-] i pochyl się, aby zacząć próbować zasnąć.\n\n[99DDFF]Środki przeciwbólowe ułatwiają zasypianie.[-]\n\nDrobny druk: mają też nieprzyjemne skutki uboczne, ale to na inny dzień.  ","Muito a aprender, você ainda tem.\n\nFique deitado em uma [DECEA3]cama[-] ou [DECEA3]saco de dormir[-], tome [DECEA3]analgésicos[-] ou [DECEA3]Fort Bites[-] e então se abaixe para começar a tentar dormir.\n\n[99DDFF]Os analgésicos facilitam adormecer.[-]\n\nPequena letra: também têm efeitos colaterais desagradáveis, mas isso é para outro dia.","Много еще предстоит узнать.\n\nСиди неподвижно на [DECEA3]кровати[-] или [DECEA3]спальном мешке[-], принимай [DECEA3]обезболивающие[-] или [DECEA3]Fort Bites[-] и затем наклонись, чтобы начать пытаться уснуть.\n\n[99DDFF]Обезболивающие облегчают засыпание.[-]\n\nМелкий шрифт: также имеют неприятные побочные эффекты, но это для другого дня.  ","Öğrenecek çok şeyin var.\n\nBir [DECEA3]yatakta[-] veya [DECEA3]uyku tulumunda[-] hareketsiz kal, [DECEA3]ağrı kesici[-] al veya [DECEA3]Fort Bites[-] ve sonra uykuya dalmayı denemek için eğil.\n\n[99DDFF]Ağrı kesiciler uykuya dalmayı kolaylaştırır.[-]\n\nKüçük harflerle: hoş olmayan yan etkileri de vardır, ama bu başka bir gün için.  ",你还有很多要学的。\n\n躺在[DECEA3]床[-]或[DECEA3]睡袋[-]上，服用[DECEA3]止痛药[-]或[DECEA3]Fort Bites[-]，然后趴下开始尝试入睡。\n\n[99DDFF]止痛药有助于入睡。[-]\n\n小字：也有一些不愉快的副作用，不过那是另一天的事。,還有很多需要學習的。\n\n躺在 [DECEA3]床[-] 或 [DECEA3]睡袋[-] 上，服用 [DECEA3]止痛藥[-] 或 [DECEA3]Fort Bites[-]，然後彎下腰開始嘗試入睡。\n\n[99DDFF]止痛藥促進入睡。[-]\n\n小字註：也有不愉快的副作用，但這是另一天的話題。
