Key,File,Type,UsedInMainMenu,NoTranslate,english
SVETGfoodT4-3,progression,Attribute,,,"Shawarma, Bucco Sour & Coffee De Klutz"
SVETGfoodT4-4,progression,Attribute,,,"Burger and Fries, Garaman on the Beach & Jivaii's Rocket Fuel"
SVETGfoodT4-5,progression,Attribute,,,"Ramen, Lyken's Redemption & Script's Moist Elixir"

SVETGworkstationsT1-2,progression,Attribute,,,"Cutting Board"
SVETGworkstationsT1-3,progression,Attribute,,,"Forge & Kitchen Knife"
SVETGworkstationsT2-1,progression,Attribute,,,"Workbench & Mortar and Pestle"
SVETGworkstationsT2-2,progression,Attribute,,,"Stove & Lock Pick"
SVETGworkstationsT2-3,progression,Attribute,,,"Bar Counter & Bellows"
SVETGworkstationsT2-4,progression,Attribute,,,"Moka & Anvil"
SVETGworkstationsT3-1,progression,Attribute,,,"Kettle & Cement Mixer"

SVETGseedsT2-1,progression,Attribute,,,"Tomato Seeds & Blueberry Seeds"
SVETGseedsT2-2,progression,Attribute,,,"Onion Seeds & Pumpkin Seeds"
SVETGseedsT2-3,progression,Attribute,,,"Cabbage Seeds & Mushrooms"
SVETGseedsT2-4,progression,Attribute,,,"Bell Pepper Seeds & Corn Seeds"
SVETGseedsT2-5,progression,Attribute,,,"Red Chilli Seeds & Potato Seeds"

SVETGworkstationsT3-2,progression,Attribute,,,"Cocktail Shaker"

buffElementWetDesc,buffs,Buff,,,"You are Moist!"
buffElementWetName,buffs,Buff,,,"Moistness"

statEntityDamageBrawling,ui_display,Item stat,,,"Brawling Damage"
statStunResist,ui_display,Item stat,,,"Stun Resistance"
statEntityDamageMelee,ui_display,Item stat,,,"Melee Damage"
statDuration,ui_display,Item stat,,,"Duration"
statBarteringSellBuy,ui_display,Item stat,,,"Bartering"
statShowPlayerExpGain,ui_display,Item stat,,,"Experience Gain"
statLootStage,ui_display,Item stat,,,"Loot Stage"
statMaxHealthBonus,ui_display,Item stat,,,"Health Bonus"
statStaminaRegen,ui_display,Item stat,,,"Stamina Regen"
statRunSpeed,ui_display,Item stat,,,"Run Speed"
statEntityDamageRanged,ui_display,Item stat,,,"Ranged Damage"
statCarryCapacity,ui_display,Item stat,,,"Carry Capacity"
statEntityDamageSneak,ui_display,Item stat,,,"Sneak Attack Damage"
statWalkSpeed,ui_display,Item stat,,,"Walking Speed"
statJumpStrength,ui_display,Item stat,,,"Jump Strength"
statMaxStaminaBonus,ui_display,Item stat,,,"Stamina Bonus"
statHarvestMining,ui_display,Item stat,,,"Harvesting"

seedSVETGTomato,blocks,Farming,,,"Tomato Seeds"

seedSVETGOnion,blocks,Farming,,,"Onion Seeds"

seedSVETGCabbage,blocks,Farming,,,"Cabbage Seeds"

seedSVETGPaprika,blocks,Farming,,,"Bell Pepper Seeds"

seedSVETGRedChillies,blocks,Farming,,,"Red Chilli Seeds"

plantedSVETGTomatoHarvestDesc,blocks,Farming,,,"Tomato Plant"
SVETGTomatoPlantPlayer,blocks,Farming,,,"Tomato Plant"
SVETGTomatogrowing,blocks,Farming,,,"Young Tomatoes"
SVETGTomatoPlant,blocks,Farming,,,"Tomato Plant"

plantedSVETGOnionHarvestDesc,blocks,Farming,,,"Onion Plant"
SVETGOnionPlantPlayer,blocks,Farming,,,"Onion Plant"
SVETGOniongrowing,blocks,Farming,,,"Young Onions"
SVETGOnionPlant,blocks,Farming,,,"Onion Plant"

plantedSVETGCabbageHarvestDesc,blocks,Farming,,,"Cabbage Plant"
SVETGCabbagePlantPlayer,blocks,Farming,,,"Cabbage Plant"
SVETGCabbagegrowing,blocks,Farming,,,"Young Cabbage"
SVETGCabbagePlant,blocks,Farming,,,"Cabbage Plant"

plantedSVETGPaprikaHarvestDesc,blocks,Farming,,,"Bell Pepper Plant"
SVETGPaprikaPlantPlayer,blocks,Farming,,,"Bell Pepper Plant"
SVETGPaprikagrowing,blocks,Farming,,,"Young Bell Peppers"
SVETGPaprikaPlant,blocks,Farming,,,"Bell Pepper Plant"

plantedSVETGRedChilliesHarvestDesc,blocks,Farming,,,"Red Chilli Plant"
SVETGRedChilliesPlantPlayer,blocks,Farming,,,"Red Chilli Plant"
SVETGRedChilliesgrowing,blocks,Farming,,,"Young Red Chillies"
SVETGRedChilliesPlant,blocks,Farming,,,"Red Chilli Plant"
